step tr_loss te_loss tr_acc te_acc
0 1.75088041923 2.50343055765 0.39898670067 0.0979689372305
1 1.39087512561 2.88846134513 0.510702976545 0.0477897252758
2 1.27057246724 2.78193957888 0.557061431097 0.126642771128
3 1.19783474757 2.39678956047 0.594680177093 0.186379928102
4 1.1469913746 2.0332792684 0.616212792922 0.275985661729
5 1.09854416859 1.80396346408 0.633945535164 0.422939068528
6 1.04085151163 1.72234034937 0.655984800318 0.465949820361
7 1.01742948199 1.98712576219 0.668777707583 0.367980884074
8 0.988074926472 1.76595901944 0.674477517348 0.426523297918
9 0.953159908285 1.73940632392 0.691450285376 0.479091993939
10 0.91768954953 1.85067025137 0.704496516179 0.457586618735
11 0.905433271609 2.11313461574 0.709816339637 0.499402627153
12 0.905735779284 2.01357769567 0.706649777774 0.437275988084
13 0.866915589144 1.90758938616 0.720075998176 0.433691758124
14 0.851097333575 1.63278876624 0.725015833349 0.530465948824
15 0.858449012286 1.65034890246 0.722989233783 0.562724012201
16 0.819468808922 1.76621248845 0.738695376874 0.572281957812
17 0.810002638336 1.82508635749 0.737682077687 0.48626045329
18 0.799869226987 1.68124011141 0.746548447947 0.538829151305
19 0.789936648191 1.81356278315 0.750854971101 0.491039425811
20 0.791969749058 1.84003182452 0.747815072718 0.53524492106
21 0.759019216236 1.91368129105 0.758834705767 0.480286737924
22 0.763744951593 1.83270335881 0.751994933631 0.535244922199
23 0.748481047863 2.22480062459 0.76276124142 0.371565113928
24 0.756306854995 1.8136299954 0.75896136809 0.480286738209
25 0.730490412064 2.6598237384 0.770867638123 0.451612902799
26 0.719359913644 1.91335778496 0.770234325492 0.514934287276
27 0.715180425096 1.73215190997 0.778214059788 0.505376344228
28 0.665435594853 1.86791630828 0.795566814734 0.487455196136
29 0.644769756284 1.78158452875 0.79683343918 0.56033452651
30 0.628550194365 1.68531153635 0.806333122237 0.585424132529
31 0.62272578724 1.80283659447 0.80430652378 0.500597372562
32 0.617390286084 1.87613915486 0.805193160115 0.488649938126
33 0.62121291871 1.60851528496 0.804813172902 0.58900836135
34 0.6175539234 1.74998212858 0.808486383712 0.578255672039
35 0.62814974387 1.79990886873 0.805573147245 0.571087214967
36 0.610408046534 1.58526636822 0.814059531643 0.602150536353
37 0.595620859583 1.69664973028 0.819759341159 0.58781361879
38 0.595268688095 1.87459722514 0.813172894161 0.476702510242
39 0.58784711028 1.80860026663 0.818746041889 0.507765830204
40 0.603457185692 1.63916762228 0.815199493607 0.543608122971
41 0.580234336423 1.84821915755 0.822419252329 0.516129031261
42 0.585665833271 2.2305778453 0.815579481228 0.449223417962
43 0.57892306683 1.85172343696 0.816339455276 0.538829150166
44 0.578477773257 1.84940892451 0.821405953965 0.566308242446
45 0.557106056404 1.91397565625 0.829512349679 0.528076461709
46 0.555447526621 1.68237251791 0.828245725271 0.59020310505
47 0.558583552253 1.89639191189 0.826979100621 0.53524492163
48 0.523252591738 1.68881908269 0.839138695135 0.573476700373
49 0.509907118209 1.75747372201 0.849398353313 0.545997609232
50 0.506345011706 1.81942945042 0.848891703451 0.600955792653
51 0.508198736252 1.95694960488 0.848511716201 0.573476701227
52 0.508832851269 1.65795775839 0.848005066422 0.622461168142
